created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 22:07:43 +0000 2023;1718389105871228976;"@kikysaputrii Gw pingin liat Lo ngeroasting pak Prabowo Ki... tanya dah sepuas Lo kenapa Ampe pak Prabowo pindah k Yordania";0;0;0;0;in;1376558427342704641;1718117122134708637;Gembel83522575;https://twitter.com/Gembel83522575/status/1718389105871228976
Sat Oct 28 22:07:13 +0000 2023;1718388977500369399;"@5t3v3n_P3g3L Gaya pendukung Kampret dari dulu seperti itu, selalu memotong orang ngomong, agar apa yang dibicarakan orang tidak didengar audiens, haduhhhhh Begitulah kira2 kwalitas pendukung Prabowo";0;0;0;0;in;2248413540;1718220841601913281;Gapazhe;https://twitter.com/Gapazhe/status/1718388977500369399
Sat Oct 28 22:07:09 +0000 2023;1718388961553609207;"@kikysaputrii padahal kiky pendukung bu @susipudjiastuti 🤣🤣🤣🤣 buzzer aneh, kemaren dulu bilang anies, sekarang prabowo, 😅🥲";0;0;0;0;in;1548709293066633216;1718268627416457447;Be3ferdyan;https://twitter.com/Be3ferdyan/status/1718388961553609207
Sat Oct 28 22:07:05 +0000 2023;1718388944235282882;"@tinggipasaribu @GunRomli @SBYudhoyono @TeddGus @alextham878 @Lembayung071 @bengkeldodo @kurawa @datuakrajoangek @99propaganda @jokowi @gibran_tweet @kaesangp Emang prabowo mau diroasting?, mana berani, takutnya nanti gebrak" meja, atau dilempar sama asbak. https://t.co/aNyO724Avg";0;1;0;0;in;1634448319111114753;1708655498613145692;PutraPe24992947;https://twitter.com/PutraPe24992947/status/1718388944235282882
Sat Oct 28 22:07:02 +0000 2023;1718388932185145645;"@prabowoisme Top, tokoh terbaik bisa menjaga stabilitas, jadi MasbowoGibran mampu membuat pembaruan yg diinginkan.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra";0;0;0;0;in;1713178370438213633;1718119053460668787;LutfLutfia;https://twitter.com/LutfLutfia/status/1718388932185145645
Sat Oct 28 22:06:44 +0000 2023;1718388857924895188;"@Hudakeyy Kalau Anies atau Prabowo jadi presiden negara bisa menghemat anggaran gaji penerjemah bahasa inggris 😀😀😀😀";0;0;0;0;in;1669908775296462848;1718231707231396256;myusufandi70;https://twitter.com/myusufandi70/status/1718388857924895188
Sat Oct 28 22:06:07 +0000 2023;1718388704195281384;"@kompascom Bahlil pasang badan. Supaya suaranya Prabowo sama Gibran tidak tergerus. Nepotisme adalah arahenuju kehancuran negara. KKN berkembang pesat.";0;0;0;0;in;2941207141;1718230667241365967;miftakhur_0;https://twitter.com/miftakhur_0/status/1718388704195281384
Sat Oct 28 22:06:01 +0000 2023;1718388679608348727;"@Uki23 Uki, lu masih ingat kan surat hasil Investigasi DKP yg ditandatangani SBY mengenai pemecatan Prabowo dari ABRI...  Rekonsiliasi itu bukan dengan cara merubah Lumpur menjadi Cokelat Belgia.";0;0;0;0;in;2913810990;1718161566129164400;fransverisimili;https://twitter.com/fransverisimili/status/1718388679608348727
Sat Oct 28 22:05:20 +0000 2023;1718388504357724548;"@prabowoisme Asiknya Ayahbowo, percaya anak2 muda memiliki kemauan energi yg keren untuk mengatasi masalah dan tugas yang kompleks.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra";0;0;0;0;in;1713173499181998080;1718119053460668787;ShintClara;https://twitter.com/ShintClara/status/1718388504357724548
Sat Oct 28 22:04:51 +0000 2023;1718388384383771122;"@Dylan___Z @BoSpot_ Apa bukti Prabowo terlibat tragedi 1998?";0;0;0;1;in;2881653068;1718178314400289098;AGoeci;https://twitter.com/AGoeci/status/1718388384383771122
